stop_name,unique_route_count
Furka DFB,1
Furna,8
Fépin,1
Fürgangen-Bellwald Talstation,1
Gagnone-Orcesco,1
Gaillac,1
Gais,2
Gallarate,3
Galmiz,2
Galuzot,2
Gambsheim,1
Gammenthal,1
Gampel-Steg,1
Gampelen,2
Gandrange - Amnéville,1
Gannat,2
Gap,3
Garchizy,1
Gasel,1
Gazzada-Schianno-Morazzone,2
Geisingen,1
Geispolsheim,1
Gelfingen,1
Gelterkinden,3
Gemeaux,1
Genlis,2
Genolier,1
Genolier Sus-Châtel,1
Genolier clinique/campus,1
"Genolier clinique/campus, gare",1
"Genolier, route de la Colonie",1
"Genolier, village",1
Genthod-Bellevue,5
Genève,14
Genève-Aéroport,7
Genève-Champel,6
Genève-Eaux-Vives,6
Genève-Sécheron,5
Gerhausen,2
Gerlafingen,2
Germaine,1
Gerolfingen,1
Gerona,1
Gerra (Gambarogno),1
Gertwiller,2
Gerzat,3
Geschinen,1
Gettnau,3
Gevrey-Chambertin,1
Gfeld,2
Gibswil,1
Gien,1
Giengen (Brenz),1
Gilley,1
Gilly-sur-Loire,2
Gisikon-Root,3
Gisingen (Feldkirch),1
Giswil,2
Giubiasco,5
Givet,1
Givisiez,3
Givors,2
Givors Canal,1
Givrins,1
"Givrins, gare",1
Gièvres,2
Gland,1
Glanzenberg,4
Glarus,2
Glattbrugg,5
Glattfelden,3
Gletsch,1
Glion,1
Glion-Alpes,1
Glion-Collège,1
Glovelier,5
Gluringen,1
Goldach,4
Goldau A4,1
Goncelin,2
Gonten,1
Gontenbad,1
Gontenschwil,1
Goppenstein,1
Gordola,2
Gorgier-St-Aubin,1
Gornergrat,1
Gossau SG,7
Gottmadingen,3
Goxwiller,2
Grafenort,1
Grafenried,1
Graffenstaden,1
Graffenwald,1
Gragnague,1
Grand-Combe-la-Pise,1
Grand-Moulin,1
Grandson,3
Grandval,1
Grandvaux,5
Grandvillars,1
Granges-Marnand,3
Grellingen,1
Grenchen Nord,2
Grenchen Süd,3
Grengiols,2
Grenoble,10
Grenoble Universités-Gières,6
Grenzach,1
Gresswiller,1
Gretz-Armainvilliers,1
Griesbach,1
Griessen (Baden),2
Grigny le Sablon,1
Grindelwald,2
Grindelwald Grund,1
Grindelwald Terminal,1
Groisy-Thorens-la-Caille,2
Grolley,1
Grosshöchstetten,2
Gruben,2
Grubenwald,1
Grubisbalm,2
Gruyères,2
Gryon,1
Gryon Barboleuse,1
Gryon Bois-Gentil,1
Gryon-Chalméry,1
Gränichen,1
Gränichen Oberdorf,1
Gränichen Töndler,1
Grésaley,1
Grésy-sur-Aix,2
Grésy-sur-Isère,1
Grüenfeld,1
Grünenmatt,2
Grüsch,9
Grütschalp,1
Gstaad,6
Guarda,3
Guignicourt,1
Guingamp,1
Gundelfingen (Breisgau),2
Gundershoffen,2
Gunsbach-Griesbach,1
Guntershausen,3
Gutenburg,2
Guéret,1
Gänsbrunnen,1
Génelard,2
Génolhac,1
Göschenen,3
Gümligen,2
Gümmenen,2
Güttingen,1
Habsheim,1
Hagenbach,2
Hagneck,1
Hagondange,4
Haguenau,5
Haldenstein,2
Halle (Saale) Hbf,1
Hallwil,1
Haltingen,2
Hamburg-Altona,1
Hard-Fussach,1
Hard-Mumenthal,1
Hasle LU,2
Hasle-Rüegsau,4
Hatrize,1
Haubersbronn (D),1
Haubersbronn-Mitte,1
Hauptwil,1
Hausach,2
Hausen im Tal,2
Hausen-Raitbach,2
Haut-de-Caux,1
Hauteville,2
Hayange,2
Haybes,1
Hebrig,1
Hechingen,1
Hedingen,3
Heerbrugg,4
Hegne,1
Heidelberg Hbf,2
Heiden,1
Heidenheim,1
Heidenheim-Schnaitheim,1
Heidenheim-Voithwerk,1
Heiligenberg - Mollkirch,2
Heimberg,3
Heimerdingen,1
Heitersheim,2
Hemmingen,1
Hendschiken,4
Henggart,4
Henniez,2
Herbertingen,3
Herbertingen Ort,2
Herblingen,2
Herbolzheim (Breisgau),2
Herbrechtingen,1
Herbriggen,2
Hergiswil Matt,2
Hergiswil NW,5
Herisau,7
Herisau Wilen,1
Hermaringen,1
Herny,1
Herrliberg-Feldmeilen,3
Herrlingen,2
Herrlisheim,1
Herrlisheim-près-Colmar,1
Herten (Baden),2
Herzogenbuchsee,2
Hettange-Grande,3
Hettlingen,3
Hindelbank,2
Hinwil,1
Hirschberg,1
Hirschthal,1
Hirson,1
Hitzkirch,1
Hochdorf,1
Hochdorf Schönau,1
Hochfelden,1
Hoelschloch,1
Hoenheim Tram,1
Hoerdt,2
Hoffen,1
Hohtenn,2
Holderbank AG,2
Hollerich,1
Holzgerlingen Bahnhof,1
Holzgerlingen-Buch,1
Holzgerlingen-Nord,1
Holzhäusern,1
Hombourg-Haut,1
Homécourt,1
Horb,2
Horgen,4
Horgen Oberdorf,1
Horn,1
Hornberg (Schwarzw),1
Horw,4
Hospental,2
Houdemont,1
Howald,2
Hundling,1
Hunzenschwil,1
Hurden,2
Huriel,1
Huttwil,2
Huttwil Sportzentrum,1
Hägendorf,1
Häggenschwil-Winden,2
Häusernmoos,1
Héricourt,3
Hünenberg Chämleten,1
Hünenberg Zythus,1
Hüntwangen-Wil,3
Hüswil,2
Hüttlingen-Mettendorf,3
Igis,3
Igney,3
Igney - Avricourt,1
Ilanz,2
Illfurth,1
Illnau,3
Im Holz,1
Immendingen,1
Immendingen Zimmern,1
Immensee,1
Imphy,2
Induno Olona,2
Ingersheim Cité Scolaire,1
Ingwiller,1
Innertkirchen Grimseltor,1
Innertkirchen Kraftwerk (Bahn),1
Innertkirchen Unterwasser,1
Ins,6
Ins Dorf,1
Insheim,1
Interlaken Ost,9
Interlaken West,5
Intragna,3
Ipsach,1
Ipsach Herdi,1
Irigny,1
Is-sur-Tille,4
Iselle di Trasquera,1
Islikon,3
Issoire,7
Istein,2
Itingen,1
Ittigen bei Bern,1
Itzelberg,1
Jakobsbad,1
Jakobstal,1
Jaman,1
Jarrie-Vizille,2
Jarville-la-Malgrange,4
Jegenstorf,2
Jenaz,4
Jestetten,6
Joeuf,1
Joigny,6
Joigny-sur-Meuse,1
Joinville,3
Jona,5
Joncherey,1
Jonchery-sur-Vesle,1
Jor,2
Jouxtens-Mézery,1
Jungfraujoch,1
Kaiseraugst,1
Kaiserslautern Hbf,1
Kaiserstuhl AG,1
Kaiserstuhl OW,1
Kalhausen,1
Kallnach,1
Kalpetran,2
Kaltbrunn,2
Kaltenherberg,1
Kandersteg,1
Kapsweyer (D),1
Karlsruhe Hbf,4
Kaufdorf,2
Kehl,1
Kehlhof,2
Kehrsatz,3
Kehrsatz Nord,3
Kempraten,2
Kempten,1
Kemptthal,2
Kenzingen,2
Kerzers,4
Kerzers Papiliorama,1
Kesswil,1
Kiebingen,2
Kiesen,1
Kilchberg ZH,4
Killwangen-Spreitenbach,5
Kilstett,1
Kirchberg-Alchenflüh,2
Kleindietwil,2
Kleine Scheidegg,3
Kleinkems,2
Klingnau,2
Klosters Dorf,6
Klosters Platz,8
Kloten,1
Kloten Balsberg,1
Klus,1
Knonau,2
Knöringen-Essingen,1
Koblenz,3
Koblenz Dorf,2
Koenigsmacker,1
Kogenheim,1
Kollbrunn,2
Kollmarsreute,2
Konolfingen,5
Konstanz,5
Konstanz-Fürstenberg,1
Konstanz-Petershausen,2
Konstanz-Wollmatingen,1
Konz Mitte,1
Kork,1
Korntal,1
Korntal-Gymnasium,1
Kradolf,1
Kressbronn,1
Kreuzlingen,3
Kreuzlingen Bernrain,2
Kreuzlingen Hafen,2
